2.58537,2.7034,2.90587,2.92915,3.12839,3.13215,3.26678,3.39492,3.33134,3.22172,3.12313,3.08428,2.80543
2.7993,2.75526,2.77107,2.95013,2.97612,3.20494,3.22349,3.29316,3.30423,3.30617,3.13923,2.99991,2.9072
2.6618,2.68151,2.83547,2.90442,3.11944,3.08136,3.31826,3.37705,3.27358,3.16121,3.10346,3.03003,3.02658
2.70849,2.7806,2.81497,2.9975,3.08889,3.25601,3.29499,3.36307,3.40692,3.17542,3.07209,3.02743,3.72006
2.56718,2.7581,2.81329,2.88547,2.99764,3.0819,3.35741,3.3125,3.33846,3.30142,3.15273,3.04984,3.3263
2.67141,2.83013,2.86602,3.00204,2.96755,3.30948,3.17807,3.24843,3.32977,3.37709,3.09685,2.93534,2.63805
2.76623,2.71466,3.01155,3.02616,3.0697,3.04097,3.16594,3.39272,3.29226,3.30002,3.18506,2.80417,2.54992
2.72856,2.74903,2.89114,2.83952,3.11529,3.24536,3.2966,3.30703,3.44455,3.22414,2.96343,2.7559,2.24803
2.56248,2.777,2.80649,3.03613,3.0708,3.14894,3.27214,3.29236,3.40104,3.35667,3.12507,2.49926,1.82581
2.73344,2.642,2.83111,2.84857,3.02685,3.14105,3.22746,3.24242,3.35019,3.16881,3.11787,2.30544,1.64526
2.69554,2.8627,2.93183,2.96702,3.04321,3.02967,3.26185,3.33671,3.32303,3.25374,2.94619,2.13995,1.49663
2.63116,2.77214,2.78156,2.96801,3.13751,3.15547,3.19577,3.25592,3.26501,3.18915,2.85646,2.05784,1.34225
2.56395,2.72942,2.7511,2.99952,3.05993,3.18025,3.28048,3.32557,3.26968,3.22614,2.84826,2.12585,1.16859
2.61926,2.94181,2.87668,2.9769,3.1227,3.14222,3.20437,3.43389,3.4031,3.20131,2.8781,1.98357,0.866086
2.73273,2.71004,2.78206,2.78055,3.03787,3.27598,3.1765,3.4123,3.30486,3.255,2.79544,1.93657,0.888832
