1.19954,1.74009,1.99761,2.49825,2.70421,2.96418,3.24741,3.57071,3.51539,3.76311
1.17432,1.68715,2.15136,2.43129,2.7656,2.96384,3.27285,3.58672,3.73286,4.05993
1.17723,1.79232,2.06522,2.53131,2.96376,2.94378,3.43204,3.71339,3.83041,3.9936
1.20023,1.85694,2.35215,2.59518,2.97908,3.23087,3.39586,3.62301,3.94031,4.24772
1.32277,1.8997,2.45235,2.68487,2.91695,3.36852,3.5885,3.84965,3.99757,4.25511
1.35792,1.92436,2.39511,2.91274,3.06856,3.57976,3.67094,4.02739,4.33082,4.55038
1.46627,2.12369,2.43464,2.92675,3.2903,3.53827,3.87744,4.11157,4.42025,4.64617
1.39635,2.12556,2.59172,3.02423,3.34296,3.71843,4.01758,4.20597,4.53892,4.64113
1.50262,2.01704,2.61911,2.95553,3.31538,3.56081,3.87871,4.29122,4.44383,4.75643
1.5025,2.0512,2.49902,2.85257,3.15878,3.63289,3.88402,4.10034,4.39196,4.52571
1.40041,1.9342,2.28792,2.6024,2.91947,3.31914,3.52416,3.87283,4.10528,4.20659
1.15799,1.58394,1.86043,2.12087,2.2798,2.37829,2.55309,2.75055,2.81936,3.10972
0.906975,1.0777,1.29438,1.37288,1.53145,1.74027,1.91524,1.93793,2.1592,2.23025
