1.80971,1.70376,1.83897,1.75582,1.73927,1.67993,1.67576,1.72195,1.59516,1.628,1.66829,1.6008,1.4601
1.69302,1.73216,1.72387,1.63711,1.63493,1.57166,1.55373,1.57063,1.55358,1.59567,1.53297,1.40687,1.56292
1.78573,1.7656,1.79829,1.69419,1.84216,1.76605,1.63994,1.67666,1.73519,1.60635,1.57373,1.61389,1.48192
2.00398,1.94183,2.05138,2.04032,1.97034,1.91651,2.06485,1.99321,1.90401,1.79059,1.90546,1.80476,1.77739
2.43034,2.46927,2.34207,2.43223,2.4135,2.42648,2.41744,2.5222,2.31793,2.35456,2.33735,2.30977,2.22471
2.5415,2.75055,2.64536,2.91295,2.76726,2.93169,2.90545,2.96938,2.99488,3.16756,3.08431,2.83517,2.59056
2.82169,2.71658,2.79725,2.88549,2.91492,3.26324,3.21942,3.41389,3.38858,3.35709,3.21173,2.8687,2.48485
2.68944,2.7099,2.8961,2.88638,3.1119,3.14303,3.16428,3.34947,3.4381,3.30646,3.23594,2.92365,2.46467
2.78964,2.69666,2.87529,2.92689,3.10764,3.12351,3.19329,3.44354,3.29696,3.22676,3.08712,2.50686,1.91697
2.6783,2.735,2.88309,2.96452,3.01298,3.16575,3.22562,3.20525,3.33506,3.22923,2.93487,2.15412,1.47473
2.74804,2.74579,2.78628,2.88916,3.06603,3.16995,3.29569,3.31854,3.31559,3.21337,2.95599,2.07167,1.17826
